zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated
88907957,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
2059106038,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
49930505,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
15001872,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
363829968,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
2053393883,false,false,true,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
14594820,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
6282392,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
13372257,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
306365845,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
123499071,false,true,false,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
2067237583,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
6155266,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14584250,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
35916521,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14543184,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
35931115,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
33853515,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14512207,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
370609931,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
2054675530,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
65034680,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
6204611,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
244883875,false,false,false,false,false,true,false,false,false,2024-11-29 05:32:39.75503 UTC
82621766,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
80456317,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
442989763,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
35877973,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
6171374,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
60953532,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
442984150,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
334260653,false,true,false,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
443017696,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
402712232,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
243067702,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
441554462,false,false,true,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
239884308,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
14462451,false,true,false,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
6149288,false,true,false,false,false,false,false,true,false,2024-11-29 05:32:39.75503 UTC
440665091,false,false,true,false,false,false,false,false,false,2024-11-29 05:32:39.75503 UTC
